"","cell_id","group"
"abjooabc-1","abjooabc-1","CD8+ T-Cell"
"abkafhea-1","abkafhea-1","Late Erythroid"
"abkbeigj-1","abkbeigj-1","Late Erythroid"
"abkbmaei-1","abkbmaei-1","Not-mapped"
"abkcjmfa-1","abkcjmfa-1","Late Myeloid"
"abkcliin-1","abkcliin-1","Mature B"
"abkeoiaf-1","abkeoiaf-1","Not-mapped"
"abkflmem-1","abkflmem-1","Late Erythroid"
"abkgfmmo-1","abkgfmmo-1","Late Myeloid"
"abkgnlpj-1","abkgnlpj-1","Late Erythroid"
"abkgojff-1","abkgojff-1","Not-mapped"
"abkkeecl-1","abkkeecl-1","Late Erythroid"
"abklkhni-1","abklkhni-1","Not-mapped"
"abkllocf-1","abkllocf-1","Not-mapped"
"abkmcadf-1","abkmcadf-1","Late Erythroid"
"abkmicnc-1","abkmicnc-1","Late Erythroid"
"abkniaai-1","abkniaai-1","Not-mapped"
"abkomjpj-1","abkomjpj-1","Not-mapped"
"abkphplo-1","abkphplo-1","Late Erythroid"
"abkpkcdh-1","abkpkcdh-1","Neutrophil"
"ablbegpi-1","ablbegpi-1","Not-mapped"
"abldcgjd-1","abldcgjd-1","Not-mapped"
"ableijed-1","ableijed-1","Mature B"
"ablfhnhm-1","ablfhnhm-1","Late Erythroid"
"ablhcicp-1","ablhcicp-1","Late Erythroid"
"ablheeln-1","ablheeln-1","Late Erythroid"
"abljecgc-1","abljecgc-1","Late Erythroid"
"ablkiicc-1","ablkiicc-1","RBC"
"ablkmpil-1","ablkmpil-1","Late Erythroid"
"ablmnpdo-1","ablmnpdo-1","Not-mapped"
"ablngfpg-1","ablngfpg-1","Late Erythroid"
"ablnkehl-1","ablnkehl-1","Late Erythroid"
"abmikjme-1","abmikjme-1","Not-mapped"
"abmjejpa-1","abmjejpa-1","Not-mapped"
"abmjpbgj-1","abmjpbgj-1","Not-mapped"
"abmkjole-1","abmkjole-1","Late Erythroid"
"abmklmlc-1","abmklmlc-1","RBC"
"abmljdao-1","abmljdao-1","Early Myeloid Progenitor"
"abmlndid-1","abmlndid-1","Not-mapped"
"abmmkmeo-1","abmmkmeo-1","CD8+ T-Cell"
"abmmllci-1","abmmllci-1","Late Erythroid"
"abmoaagm-1","abmoaagm-1","Late Erythroid"
"abmpdlcl-1","abmpdlcl-1","RBC"
"abmpipll-1","abmpipll-1","CD8+ T-Cell"
"abnbcagn-1","abnbcagn-1","Early Myeloid Progenitor"
"abnbecob-1","abnbecob-1","Not-mapped"
"abndelmf-1","abndelmf-1","Late Myeloid"
"abndpami-1","abndpami-1","CD8+ T-Cell"
"abngeghb-1","abngeghb-1","Not-mapped"
"abngmbhj-1","abngmbhj-1","Not-mapped"
