cell_id,group
abllhcld-1,RBC
ablnncdg-1,Monocyte
ablnnifb-1,Late Myeloid
ablpiphj-1,Late Myeloid
abmeondl-1,Late Myeloid
abmgaeih-1,RBC
abmgoijk-1,GMP
abminjan-1,Neutrophil
abmjjnop-1,Late Erythroid
abmlpdcp-1,Osteoblast
abmmfeda-1,HSC
abmmjjdl-1,Neutrophil
abnblckp-1,RBC
abnddnbb-1,Early Myeloid Progenitor
abnfhjcd-1,Early Myeloid Progenitor
abniihji-1,Pre-B
abnikhji-1,Neutrophil
abniogfj-1,Early Myeloid Progenitor
abnjekah-1,GMP
abnoanih-1,GMP
abnoddad-1,Cycling HSPC
abnoehkf-1,GMP
abnpnclp-1,GMP
aboamfai-1,GMP
abodlgcm-1,Cycling HSPC
aboeambd-1,Early Myeloid Progenitor
aboelppe-1,RBC
abofkmpi-1,Pre-B
abogpllh-1,Plasma Cell
aboijgoc-1,Late Myeloid
abojgcka-1,Neutrophil
abokibgd-1,Neutrophil
abolljld-1,Erythroblast
abookbpi-1,CD8+ T-Cell
abpbamhp-1,Neutrophil
abpcaokk-1,Late Myeloid
abpfjbjm-1,Late Myeloid
abpgomhp-1,Late Myeloid
abphmapp-1,Late Myeloid
abpjajhg-1,MEP
abpkkepc-1,THY1+ MSC
abplonde-1,Osteo-MSC
abplpgia-1,Late Myeloid
abpmgjld-1,Late Myeloid
abpmjkgn-1,Pro-B
abpmognk-1,Late Erythroid
abpojofn-1,RBC
abppgjih-1,Osteo-MSC
acabcpgp-1,Late Erythroid
acabfjfd-1,Late Myeloid
acacagdk-1,Late Myeloid
acachohp-1,RBC
acadfolb-1,Late Myeloid
acadklio-1,Neutrophil
acafjjkb-1,Late Myeloid
acafobho-1,GMP
acagljlg-1,Late Myeloid
acahgngg-1,Late Myeloid
acaidaaj-1,Pre-Pro B
acaiimbp-1,Mature B
acaippja-1,Plasma Cell
acalkcpd-1,Late Erythroid
acamekcf-1,Cycling HSPC
acanplcl-1,Late Myeloid
acaoibkn-1,GMP
acbbghei-1,Cycling HSPC
acbbkejc-1,GMP
acbbkmdh-1,GMP
acbcacll-1,GMP
acbghfnh-1,Neutrophil
acbjbkjh-1,RBC
acbjboah-1,Pre-Pro B
acbjiopc-1,Late Myeloid
acbkopbg-1,Osteoblast
acblaphi-1,Pro-B
acbnbfff-1,CD4+ T-Cell
acbnfnhi-1,GMP
accbcbil-1,RBC
accblpfn-1,Neutrophil
accbmgao-1,Mature B
acccefhe-1,Late Erythroid
accehnno-1,Late Myeloid
accfiabj-1,Osteoblast
accgbdjb-1,Plasma Cell
acclbiio-1,GMP
accocpal-1,MEP
accoehmc-1,Neutrophil
accooife-1,Cycling HSPC
acdankne-1,CLP
acddajbn-1,RBC
acddolhi-1,GMP
acdeabig-1,RBC
acdfophj-1,RBC
acdgndbb-1,RBC
acdibmek-1,MEP
acdjffbd-1,RBC
acdjgaao-1,RBC
acdmbleg-1,CD4+ T-Cell
acdpfiab-1,GMP
acdpiilg-1,RBC
aceafjcf-1,Plasma Cell
acedhcje-1,Neutrophil
aceecmim-1,Late Myeloid
acefeend-1,Early Myeloid Progenitor
aceipelb-1,Late Myeloid
acekihhf-1,Mature B
acemoehf-1,Neutrophil
acendihh-1,Monocyte
acenmgag-1,Monocyte
aceojfck-1,RBC
aceoloki-1,CLP
acepogbp-1,RBC
acfbihph-1,Pro-B
acfbnfek-1,Erythroblast
acfcikmp-1,Pro-B
acfedcbg-1,Pro-B
acfehmjo-1,Adipo-MSC
acfhbgdl-1,MEP
acfhgeao-1,Osteo-MSC
acfibcgn-1,GMP
acfibeod-1,Late Myeloid
acflcnbd-1,Late Myeloid
acgammhm-1,Plasma Cell
acgcahlm-1,Neutrophil
acgcpdip-1,Fibro-MSC
acgemdnf-1,Early Myeloid Progenitor
acgfeogj-1,Late Myeloid
acgficnj-1,Macrophages
acgglell-1,Late Myeloid
acgidbnl-1,Late Myeloid
acgiiock-1,Late Myeloid
acgjeiic-1,RBC
acgmcgfo-1,RBC
acgmkpmi-1,RBC
acgohjpa-1,Late Myeloid
achbamlm-1,Pre-B
achbdogj-1,RBC
achfjmho-1,Late Myeloid
achgpkko-1,Late Myeloid
achhhmfj-1,Neutrophil
achicgfm-1,Ba/Eo/Ma
achichld-1,Early Myeloid Progenitor
achnklce-1,Pro-B
achnmehp-1,Cycling HSPC
achnnjfh-1,MEP
achohejm-1,Ba/Eo/Ma
acholbdc-1,Late Myeloid
achondbc-1,pDC
acibibke-1,Pre-B
acibkelc-1,Late Myeloid
acicibkn-1,Pro-B
acifieal-1,Late Erythroid
acihophg-1,Late Myeloid
acihpmpg-1,HSC
aciidmbi-1,Fibro-MSC
acikdiej-1,Early Myeloid Progenitor
acikfbpg-1,Ba/Eo/Ma
acikjpoi-1,Pre-B
acinfmnl-1,Plasma Cell
acinniij-1,CLP
aciomfom-1,Late Myeloid
acipdidg-1,Early Myeloid Progenitor
aciplado-1,Pro-B
acjagbdo-1,Late Myeloid
acjebdld-1,MEP
acjgdkgi-1,RBC
acjhamie-1,Monocyte
acjigmbd-1,RBC
acjikfeo-1,Macrophages
acjmemib-1,RBC
acjnpekn-1,Late Myeloid
acjoohib-1,Neutrophil
acjpnlgc-1,GMP
ackagiah-1,CD4+ T-Cell
ackaicpj-1,Neutrophil
ackbljei-1,Erythroblast
ackblneo-1,RBC
ackbmiep-1,Late Erythroid
ackbnjga-1,RBC
ackebbki-1,Late Myeloid
ackhlakf-1,Late Myeloid
ackiiloe-1,Erythroblast
ackipghd-1,Cycling HSPC
ackjhbgb-1,Late Erythroid
acklgakj-1,GMP
acknhnhm-1,Late Erythroid
ackolhjp-1,Mature B
ackomdlc-1,pDC
aclbdmpb-1,Pre-Pro B
aclbnkdn-1,Monocyte
aclegjmd-1,Erythroblast
acleofbl-1,RBC
aclfhogh-1,Ba/Eo/Ma
aclglkei-1,Osteoblast
aclhmnpa-1,RBC
