"","cell_id","group"
"aakibngg-1","aakibngg-1","Early Myeloid Progenitor"
"aakilpda-1","aakilpda-1","Early Myeloid Progenitor"
"aakjgloa-1","aakjgloa-1","Osteoblast"
"aakkabpo-1","aakkabpo-1","Plasma Cell"
"aakkebfi-1","aakkebfi-1","GMP"
"aaklcahd-1","aaklcahd-1","Early Myeloid Progenitor"
"aaklokmn-1","aaklokmn-1","Cycling HSPC"
"aakobfdl-1","aakobfdl-1","Osteoblast"
"aakpkpfi-1","aakpkpfi-1","Osteoblast"
"aalaaalp-1","aalaaalp-1","Plasma Cell"
"aalckdfj-1","aalckdfj-1","Cycling HSPC"
"aaldloon-1","aaldloon-1","GMP"
"aaldpkik-1","aaldpkik-1","Cycling HSPC"
"aalecikg-1","aalecikg-1","GMP"
"aalgafcn-1","aalgafcn-1","GMP"
"aalgigoo-1","aalgigoo-1","Plasma Cell"
"aalhdifn-1","aalhdifn-1","Plasma Cell"
"aalhdkci-1","aalhdkci-1","Plasma Cell"
"aalhfcmc-1","aalhfcmc-1","Cycling HSPC"
"aalhmkmi-1","aalhmkmi-1","MPP"
"aalicnoc-1","aalicnoc-1","Plasma Cell"
"aalkchon-1","aalkchon-1","Late Myeloid"
"aalkmbaa-1","aalkmbaa-1","Osteoblast"
"aalkmdej-1","aalkmdej-1","Late Erythroid"
"aalmaogk-1","aalmaogk-1","Late Erythroid"
"aambjiii-1","aambjiii-1","Late Erythroid"
"aamcjbcb-1","aamcjbcb-1","Late Erythroid"
"aamdbkil-1","aamdbkil-1","Adipo-MSC"
"aamepnfb-1","aamepnfb-1","Late Erythroid"
"aamgbmjg-1","aamgbmjg-1","Late Erythroid"
"aamhbpcc-1","aamhbpcc-1","SEC"
"aamibkfo-1","aamibkfo-1","Early Myeloid Progenitor"
"aamieljl-1","aamieljl-1","Late Erythroid"
"aamigalg-1","aamigalg-1","Early Myeloid Progenitor"
"aamjegna-1","aamjegna-1","Early Myeloid Progenitor"
"aamkeiei-1","aamkeiei-1","Plasma Cell"
"aamkfffg-1","aamkfffg-1","Early Myeloid Progenitor"
"aamlbkdn-1","aamlbkdn-1","Late Myeloid"
"aamllbnd-1","aamllbnd-1","Late Myeloid"
"aammcjoc-1","aammcjoc-1","Early Myeloid Progenitor"
"aammionm-1","aammionm-1","Early Myeloid Progenitor"
"aamobcme-1","aamobcme-1","AEC"
"aamoeice-1","aamoeice-1","GMP"
"aanakbmn-1","aanakbmn-1","Early Myeloid Progenitor"
"aanbmkmh-1","aanbmkmh-1","GMP"
"aanciodh-1","aanciodh-1","SEC"
"aandefje-1","aandefje-1","SEC"
"aandgelp-1","aandgelp-1","Early Myeloid Progenitor"
"aanecopc-1","aanecopc-1","VSMC"
"aanenbna-1","aanenbna-1","VSMC"
"aanfmpmg-1","aanfmpmg-1","Plasma Cell"
"aangceeg-1","aangceeg-1","Monocyte"
"aangcmna-1","aangcmna-1","Early Myeloid Progenitor"
"aanhefff-1","aanhefff-1","Osteoblast"
"aanhoche-1","aanhoche-1","SEC"
"aanjijle-1","aanjijle-1","Osteo-MSC"
"aanjkhfl-1","aanjkhfl-1","Adipo-MSC"
"aankpblc-1","aankpblc-1","Early Myeloid Progenitor"
"aanlbbmf-1","aanlbbmf-1","Osteo-MSC"
"aanlbckc-1","aanlbckc-1","Early Myeloid Progenitor"
"aanlmhbg-1","aanlmhbg-1","Late Erythroid"
"aannadej-1","aannadej-1","Late Erythroid"
"aannledf-1","aannledf-1","Late Erythroid"
"aanoilop-1","aanoilop-1","Late Erythroid"
"aanplnlh-1","aanplnlh-1","Early Myeloid Progenitor"
"aaoagjlb-1","aaoagjlb-1","Monocyte"
"aaoaicmg-1","aaoaicmg-1","Late Myeloid"
"aaocpbfk-1","aaocpbfk-1","Late Erythroid"
"aaodjiba-1","aaodjiba-1","Late Erythroid"
"aaodpfpk-1","aaodpfpk-1","Late Erythroid"
"aaoeanhd-1","aaoeanhd-1","Early Myeloid Progenitor"
"aaoejekm-1","aaoejekm-1","SEC"
"aaoekomn-1","aaoekomn-1","Late Erythroid"
"aaoenkmg-1","aaoenkmg-1","Late Erythroid"
"aaofbfom-1","aaofbfom-1","Late Erythroid"
"aaofbjcd-1","aaofbjcd-1","Late Erythroid"
"aaofmakb-1","aaofmakb-1","Late Erythroid"
"aaofmeni-1","aaofmeni-1","Late Erythroid"
"aaogdafh-1","aaogdafh-1","Late Erythroid"
"aaohjbcf-1","aaohjbcf-1","Late Erythroid"
"aaoklkdh-1","aaoklkdh-1","Late Myeloid"
"aaoklkgp-1","aaoklkgp-1","Late Erythroid"
"aaomodof-1","aaomodof-1","Late Myeloid"
"aaonfkan-1","aaonfkan-1","Late Erythroid"
"aaooldbh-1","aaooldbh-1","Late Erythroid"
"aaopbeke-1","aaopbeke-1","Late Erythroid"
"aapabjol-1","aapabjol-1","MPP"
"aapbagpn-1","aapbagpn-1","Late Erythroid"
"aapbdecb-1","aapbdecb-1","Late Erythroid"
"aapbphlo-1","aapbphlo-1","MPP"
"aapcaono-1","aapcaono-1","Early Myeloid Progenitor"
"aapcfead-1","aapcfead-1","Late Erythroid"
"aapedkfc-1","aapedkfc-1","Early Myeloid Progenitor"
"aapgodjc-1","aapgodjc-1","Late Erythroid"
"aaphafmn-1","aaphafmn-1","Late Erythroid"
"aapkmnjo-1","aapkmnjo-1","Late Erythroid"
"aapknolg-1","aapknolg-1","Late Erythroid"
"aapldojl-1","aapldojl-1","Late Erythroid"
"aapljehf-1","aapljehf-1","Late Erythroid"
"aaplmabc-1","aaplmabc-1","Late Erythroid"
"aapnakgo-1","aapnakgo-1","Late Erythroid"
"aapoigah-1","aapoigah-1","Osteoblast"
"aappmpcp-1","aappmpcp-1","Osteoblast"
"abaaadpc-1","abaaadpc-1","Osteoblast"
"abaakjjp-1","abaakjjp-1","Osteo-MSC"
"abaalona-1","abaalona-1","Cycling HSPC"
"ababende-1","ababende-1","GMP"
"abaeddeo-1","abaeddeo-1","Early Myeloid Progenitor"
"abaeffcn-1","abaeffcn-1","Late Erythroid"
"abaehiia-1","abaehiia-1","Late Erythroid"
"abaeolpg-1","abaeolpg-1","GMP"
"abafloih-1","abafloih-1","Osteoblast"
"abageapb-1","abageapb-1","Late Erythroid"
"abaihedd-1","abaihedd-1","Late Erythroid"
"abajfnoa-1","abajfnoa-1","Late Erythroid"
"abajnfdh-1","abajnfdh-1","Monocyte"
"abajnpjd-1","abajnpjd-1","Late Erythroid"
"abakhgmk-1","abakhgmk-1","GMP"
"abalaffp-1","abalaffp-1","Cycling HSPC"
"abamgadj-1","abamgadj-1","GMP"
"abaoddnm-1","abaoddnm-1","Osteoblast"
"abbbeoid-1","abbbeoid-1","GMP"
"abbddmbp-1","abbddmbp-1","Late Erythroid"
"abbdhmco-1","abbdhmco-1","GMP"
"abbigenb-1","abbigenb-1","GMP"
"abbihmon-1","abbihmon-1","Adipo-MSC"
"abbincfk-1","abbincfk-1","Late Erythroid"
"abbkjmeb-1","abbkjmeb-1","Late Erythroid"
"abbmgana-1","abbmgana-1","Late Erythroid"
"abbnmjkg-1","abbnmjkg-1","Late Erythroid"
"abbpchbe-1","abbpchbe-1","Late Erythroid"
"abbpcmni-1","abbpcmni-1","SEC"
"abcbfekj-1","abcbfekj-1","Ba/Eo/Ma"
"abcbfelk-1","abcbfelk-1","Late Erythroid"
"abcbklln-1","abcbklln-1","Late Erythroid"
"abccdopn-1","abccdopn-1","Megakaryocyte"
"abccfkii-1","abccfkii-1","Cycling HSPC"
"abccnalj-1","abccnalj-1","Early Myeloid Progenitor"
