"","cell_id","group"
"abbdilmj-1","abbdilmj-1","Pre-B"
"abbepahe-1","abbepahe-1","Not-mapped"
"abbggemg-1","abbggemg-1","Late Myeloid"
"abbgjnkg-1","abbgjnkg-1","Neutrophil"
"abbichhk-1","abbichhk-1","Not-mapped"
"abbidaea-1","abbidaea-1","Neutrophil"
"abbjblag-1","abbjblag-1","Not-mapped"
"abbjclil-1","abbjclil-1","Not-mapped"
"abbkkfem-1","abbkkfem-1","Not-mapped"
"abblffap-1","abblffap-1","Late Erythroid"
"abbmepej-1","abbmepej-1","Late Erythroid"
"abbpaiod-1","abbpaiod-1","Not-mapped"
"abcaimhj-1","abcaimhj-1","Late Myeloid"
"abcaobfi-1","abcaobfi-1","Late Erythroid"
"abcbhkko-1","abcbhkko-1","Monocyte"
"abccohjp-1","abccohjp-1","RBC"
"abcdedac-1","abcdedac-1","Not-mapped"
"abcfmahc-1","abcfmahc-1","Late Erythroid"
"abchajjg-1","abchajjg-1","Late Erythroid"
"abcjbdfe-1","abcjbdfe-1","Not-mapped"
"abcjdfnb-1","abcjdfnb-1","Not-mapped"
"abclldnb-1","abclldnb-1","Late Erythroid"
"abcmohco-1","abcmohco-1","Ba/Eo/Ma"
"abcnddlf-1","abcnddlf-1","Not-mapped"
"abcnpojg-1","abcnpojg-1","Not-mapped"
"abdcoaba-1","abdcoaba-1","Not-mapped"
"abdgpnje-1","abdgpnje-1","Late Erythroid"
"abdhbmpn-1","abdhbmpn-1","RBC"
"abdhcckn-1","abdhcckn-1","GMP"
"abdipjjp-1","abdipjjp-1","Not-mapped"
"abdndkdf-1","abdndkdf-1","Not-mapped"
"abdnkgfp-1","abdnkgfp-1","Not-mapped"
"abdnkhcg-1","abdnkhcg-1","Not-mapped"
"abdocgki-1","abdocgki-1","RBC"
"abdomgjd-1","abdomgjd-1","GMP"
"abdphfnp-1","abdphfnp-1","CD4+ T-Cell"
"abdpkikh-1","abdpkikh-1","Not-mapped"
"abdpppke-1","abdpppke-1","Not-mapped"
"abebamnl-1","abebamnl-1","Not-mapped"
"abeflfmk-1","abeflfmk-1","Not-mapped"
"abegcfji-1","abegcfji-1","Late Erythroid"
"abehnmje-1","abehnmje-1","Not-mapped"
"abehplop-1","abehplop-1","Mature B"
