"","cell_id","group"
"aglpkmjp-1","aglpkmjp-1","VSMC"
"agmgbigf-1","agmgbigf-1","SEC"
"agncjgig-1","agncjgig-1","VSMC"
"agnmdlnb-1","agnmdlnb-1","APOD+ MSC"
"agobnoag-1","agobnoag-1","APOD+ MSC"
"agodpkmk-1","agodpkmk-1","APOD+ MSC"
"agpalbcm-1","agpalbcm-1","Plasma Cell"
"agpdpblm-1","agpdpblm-1","Late Myeloid"
"agpkedhp-1","agpkedhp-1","APOD+ MSC"
"ahajfapl-1","ahajfapl-1","APOD+ MSC"
"ahbcbdge-1","ahbcbdge-1","Early Myeloid Progenitor"
"ahccolbd-1","ahccolbd-1","Pro-B"
"ahcjohfc-1","ahcjohfc-1","VSMC"
"ahcmeeci-1","ahcmeeci-1","APOD+ MSC"
"ahdcmkef-1","ahdcmkef-1","VSMC"
"ahdemkhc-1","ahdemkhc-1","Early Myeloid Progenitor"
"ahdfgpdc-1","ahdfgpdc-1","RNAlo MSC"
"aheabpco-1","aheabpco-1","AEC"
"ahecmpck-1","ahecmpck-1","SEC"
"ahenooco-1","ahenooco-1","Osteo-MSC"
"ahfagjcd-1","ahfagjcd-1","Osteoblast"
"ahfbhdbp-1","ahfbhdbp-1","Adipo-MSC"
"ahfbncdi-1","ahfbncdi-1","AEC"
"ahfkkfeh-1","ahfkkfeh-1","Adipo-MSC"
"ahflfaek-1","ahflfaek-1","Plasma Cell"
"ahgkfpgk-1","ahgkfpgk-1","Adipo-MSC"
"ahgnglkd-1","ahgnglkd-1","SEC"
"ahhhbcba-1","ahhhbcba-1","SEC"
"ahhkagnp-1","ahhkagnp-1","SEC"
"ahhkkhnb-1","ahhkkhnb-1","RNAlo MSC"
"ahhooggg-1","ahhooggg-1","SEC"
"ahibfabd-1","ahibfabd-1","Early Myeloid Progenitor"
"ahiccmae-1","ahiccmae-1","Early Myeloid Progenitor"
"ahichidn-1","ahichidn-1","Monocyte"
"ahjbmajg-1","ahjbmajg-1","Plasma Cell"
"ahlgiipd-1","ahlgiipd-1","Early Myeloid Progenitor"
"ahlhjipd-1","ahlhjipd-1","Early Myeloid Progenitor"
"ahmikmnj-1","ahmikmnj-1","Plasma Cell"
"ahnhdbgm-1","ahnhdbgm-1","Plasma Cell"
"ahoagkbg-1","ahoagkbg-1","Ba/Eo/Ma"
"ahomchjn-1","ahomchjn-1","APOD+ MSC"
"ahpcecde-1","ahpcecde-1","Early Myeloid Progenitor"
"ahpdknif-1","ahpdknif-1","Plasma Cell"
"ahpdmcgg-1","ahpdmcgg-1","Late Myeloid"
"aiapjbil-1","aiapjbil-1","Pro-B"
"aibadoac-1","aibadoac-1","Early Myeloid Progenitor"
"aibdekpo-1","aibdekpo-1","Pro-B"
"aibgopab-1","aibgopab-1","Early Myeloid Progenitor"
"aibhcckl-1","aibhcckl-1","Osteoblast"
"aibijcho-1","aibijcho-1","SEC"
"aicjnhff-1","aicjnhff-1","Osteoblast"
"aiddoenh-1","aiddoenh-1","Osteoblast"
"aidfokja-1","aidfokja-1","SEC"
"aieabfbd-1","aieabfbd-1","Osteo-MSC"
"aiecjaon-1","aiecjaon-1","Osteoblast"
"aigkomni-1","aigkomni-1","Osteoblast"
"aiglplgl-1","aiglplgl-1","Osteoblast"
"aigompdp-1","aigompdp-1","Osteoblast"
"aihbkmff-1","aihbkmff-1","Osteoblast"
"aihodaaf-1","aihodaaf-1","Osteoblast"
"aijbcnnb-1","aijbcnnb-1","VSMC"
"aijfihml-1","aijfihml-1","APOD+ MSC"
"aijlbodo-1","aijlbodo-1","VSMC"
"aikdippp-1","aikdippp-1","VSMC"
"aikkajed-1","aikkajed-1","VSMC"
"aikohbpl-1","aikohbpl-1","VSMC"
"ailblnkn-1","ailblnkn-1","VSMC"
"aillboml-1","aillboml-1","AEC"
"ailpkmic-1","ailpkmic-1","RNAlo MSC"
"aimaglkp-1","aimaglkp-1","Monocyte"
"ainjabdl-1","ainjabdl-1","VSMC"
"ainlmoca-1","ainlmoca-1","RNAlo MSC"
"aioaljmk-1","aioaljmk-1","Fibro-MSC"
"aiocenin-1","aiocenin-1","RNAlo MSC"
"aipgnmcd-1","aipgnmcd-1","APOD+ MSC"
"aiphkceg-1","aiphkceg-1","APOD+ MSC"
"aipoghml-1","aipoghml-1","APOD+ MSC"
"ajagnkhe-1","ajagnkhe-1","RNAlo MSC"
"ajahcopg-1","ajahcopg-1","Fibro-MSC"
"ajaifmil-1","ajaifmil-1","APOD+ MSC"
"ajajiehb-1","ajajiehb-1","APOD+ MSC"
"ajbcnkpn-1","ajbcnkpn-1","Early Myeloid Progenitor"
"ajbdifhl-1","ajbdifhl-1","APOD+ MSC"
"ajbmnnoi-1","ajbmnnoi-1","APOD+ MSC"
"ajboniio-1","ajboniio-1","APOD+ MSC"
"ajbphmfl-1","ajbphmfl-1","Early Myeloid Progenitor"
"ajcffbhd-1","ajcffbhd-1","Fibro-MSC"
"ajcndodl-1","ajcndodl-1","RNAlo MSC"
"ajdfaokn-1","ajdfaokn-1","Early Myeloid Progenitor"
"ajedbjli-1","ajedbjli-1","APOD+ MSC"
"ajegbabm-1","ajegbabm-1","APOD+ MSC"
"ajfchbnd-1","ajfchbnd-1","Plasma Cell"
"ajfdjkkn-1","ajfdjkkn-1","RNAlo MSC"
"ajfjgodo-1","ajfjgodo-1","APOD+ MSC"
"ajflekim-1","ajflekim-1","APOD+ MSC"
"ajfomopp-1","ajfomopp-1","RNAlo MSC"
"ajgafmga-1","ajgafmga-1","Plasma Cell"
"ajgapldn-1","ajgapldn-1","Plasma Cell"
"ajhgpgic-1","ajhgpgic-1","APOD+ MSC"
"ajibakhl-1","ajibakhl-1","Plasma Cell"
"ajiikojb-1","ajiikojb-1","APOD+ MSC"
"ajinpjge-1","ajinpjge-1","Fibro-MSC"
"ajjnllgb-1","ajjnllgb-1","Early Myeloid Progenitor"
"ajleahmo-1","ajleahmo-1","Plasma Cell"
"ajmjbfbn-1","ajmjbfbn-1","Early Myeloid Progenitor"
"ajmjoikc-1","ajmjoikc-1","Plasma Cell"
"ajngaeli-1","ajngaeli-1","Early Myeloid Progenitor"
"ajpdaeaa-1","ajpdaeaa-1","Early Myeloid Progenitor"
"ajpgppce-1","ajpgppce-1","SEC"
"ajpiagag-1","ajpiagag-1","APOD+ MSC"
"akcdjpig-1","akcdjpig-1","APOD+ MSC"
"akdaocig-1","akdaocig-1","APOD+ MSC"
"akdiljpn-1","akdiljpn-1","VSMC"
"akennljj-1","akennljj-1","VSMC"
"akenompe-1","akenompe-1","THY1+ MSC"
"akeodegn-1","akeodegn-1","APOD+ MSC"
"akfhgpij-1","akfhgpij-1","Early Myeloid Progenitor"
"akgbdcjk-1","akgbdcjk-1","THY1+ MSC"
"akgchebc-1","akgchebc-1","APOD+ MSC"
"akgphnca-1","akgphnca-1","APOD+ MSC"
"akhadegh-1","akhadegh-1","APOD+ MSC"
"akhccnle-1","akhccnle-1","AEC"
"akhcideh-1","akhcideh-1","SEC"
"akilopbb-1","akilopbb-1","SEC"
"akioebma-1","akioebma-1","Adipo-MSC"
"akjipjjk-1","akjipjjk-1","Adipo-MSC"
"akjnipma-1","akjnipma-1","SEC"
"akkfbolb-1","akkfbolb-1","Early Myeloid Progenitor"
"akkjijff-1","akkjijff-1","AEC"
"akklolfj-1","akklolfj-1","Plasma Cell"
"akkofpel-1","akkofpel-1","SEC"
"akmnbfle-1","akmnbfle-1","APOD+ MSC"
"akpbnlfh-1","akpbnlfh-1","GMP"
"akppcbeb-1","akppcbeb-1","APOD+ MSC"
"alakagmj-1","alakagmj-1","Plasma Cell"
"alamghjg-1","alamghjg-1","Pre-B"
"alanfcpa-1","alanfcpa-1","Early Myeloid Progenitor"
"albpdneh-1","albpdneh-1","VSMC"
"alclcedm-1","alclcedm-1","AEC"
"alcmbkdf-1","alcmbkdf-1","VSMC"
"aldaagdb-1","aldaagdb-1","APOD+ MSC"
"aledapjf-1","aledapjf-1","APOD+ MSC"
"alefodmp-1","alefodmp-1","APOD+ MSC"
"alggdbmk-1","alggdbmk-1","APOD+ MSC"
"alhcfmfl-1","alhcfmfl-1","APOD+ MSC"
"alhfmafk-1","alhfmafk-1","APOD+ MSC"
"alibngce-1","alibngce-1","Pro-B"
"alieofob-1","alieofob-1","RNAlo MSC"
"aliiiicg-1","aliiiicg-1","AEC"
"aliileli-1","aliileli-1","Early Myeloid Progenitor"
"aliknggk-1","aliknggk-1","SEC"
"aljhahca-1","aljhahca-1","SEC"
"aljnpflf-1","aljnpflf-1","APOD+ MSC"
"alkapgbp-1","alkapgbp-1","AEC"
"alkefegp-1","alkefegp-1","VSMC"
"alkhakcm-1","alkhakcm-1","APOD+ MSC"
"allbajnf-1","allbajnf-1","APOD+ MSC"
"allffpef-1","allffpef-1","Early Myeloid Progenitor"
"allhpbfj-1","allhpbfj-1","Plasma Cell"
"almnejpg-1","almnejpg-1","APOD+ MSC"
"almnlkpi-1","almnlkpi-1","Fibro-MSC"
"almpphgm-1","almpphgm-1","GMP"
"alnegdfk-1","alnegdfk-1","APOD+ MSC"
"alnoaoam-1","alnoaoam-1","Fibro-MSC"
"aloiagpc-1","aloiagpc-1","VSMC"
"alollkoc-1","alollkoc-1","AEC"
