"","cell_id","group"
"aalhmkmi-1","aalhmkmi-1","Not-mapped"
"aalicnoc-1","aalicnoc-1","Plasma Cell"
"aalkchon-1","aalkchon-1","Late Myeloid"
"aalkmbaa-1","aalkmbaa-1","Osteoblast"
"aalkmdej-1","aalkmdej-1","Not-mapped"
"aalmaogk-1","aalmaogk-1","Late Erythroid"
"aambjiii-1","aambjiii-1","Late Erythroid"
"aamcjbcb-1","aamcjbcb-1","Late Erythroid"
"aamdbkil-1","aamdbkil-1","Adipo-MSC"
"aamepnfb-1","aamepnfb-1","Late Erythroid"
"aamgbmjg-1","aamgbmjg-1","Late Erythroid"
"aamhbpcc-1","aamhbpcc-1","Not-mapped"
"aamibkfo-1","aamibkfo-1","Not-mapped"
"aamieljl-1","aamieljl-1","Not-mapped"
"aamigalg-1","aamigalg-1","Not-mapped"
"aamjegna-1","aamjegna-1","Not-mapped"
"aamkeiei-1","aamkeiei-1","Not-mapped"
"aamkfffg-1","aamkfffg-1","Early Myeloid Progenitor"
"aamlbkdn-1","aamlbkdn-1","Late Myeloid"
"aamllbnd-1","aamllbnd-1","Late Myeloid"
"aammcjoc-1","aammcjoc-1","Early Myeloid Progenitor"
"aammionm-1","aammionm-1","Not-mapped"
"aamobcme-1","aamobcme-1","Not-mapped"
"aamoeice-1","aamoeice-1","Not-mapped"
"aanakbmn-1","aanakbmn-1","Early Myeloid Progenitor"
"aanbmkmh-1","aanbmkmh-1","GMP"
"aanciodh-1","aanciodh-1","SEC"
"aandefje-1","aandefje-1","SEC"
"aandgelp-1","aandgelp-1","Not-mapped"
"aanecopc-1","aanecopc-1","VSMC"
"aanenbna-1","aanenbna-1","VSMC"
"aanfmpmg-1","aanfmpmg-1","Plasma Cell"
"aangceeg-1","aangceeg-1","Monocyte"
"aangcmna-1","aangcmna-1","Early Myeloid Progenitor"
"aanhefff-1","aanhefff-1","Osteoblast"
"aanhoche-1","aanhoche-1","Not-mapped"
"aanjijle-1","aanjijle-1","Osteo-MSC"
"aanjkhfl-1","aanjkhfl-1","Not-mapped"
"aankpblc-1","aankpblc-1","Not-mapped"
"aanlbbmf-1","aanlbbmf-1","Not-mapped"
"aanlbckc-1","aanlbckc-1","Not-mapped"
"aanlmhbg-1","aanlmhbg-1","Late Erythroid"
"aannadej-1","aannadej-1","Late Erythroid"
"aannledf-1","aannledf-1","Late Erythroid"
"aanoilop-1","aanoilop-1","Late Erythroid"
"aanplnlh-1","aanplnlh-1","Not-mapped"
"aaoagjlb-1","aaoagjlb-1","Monocyte"
"aaoaicmg-1","aaoaicmg-1","Not-mapped"
"aaocpbfk-1","aaocpbfk-1","Late Erythroid"
"aaodjiba-1","aaodjiba-1","Not-mapped"
"aaodpfpk-1","aaodpfpk-1","Late Erythroid"
"aaoeanhd-1","aaoeanhd-1","Not-mapped"
"aaoejekm-1","aaoejekm-1","Not-mapped"
"aaoekomn-1","aaoekomn-1","Not-mapped"
"aaoenkmg-1","aaoenkmg-1","Not-mapped"
"aaofbfom-1","aaofbfom-1","Not-mapped"
"aaofbjcd-1","aaofbjcd-1","Late Erythroid"
"aaofmakb-1","aaofmakb-1","Late Erythroid"
"aaofmeni-1","aaofmeni-1","Late Erythroid"
"aaogdafh-1","aaogdafh-1","Late Erythroid"
"aaohjbcf-1","aaohjbcf-1","Late Erythroid"
"aaoklkdh-1","aaoklkdh-1","Not-mapped"
"aaoklkgp-1","aaoklkgp-1","Late Erythroid"
"aaomodof-1","aaomodof-1","Not-mapped"
"aaonfkan-1","aaonfkan-1","Late Erythroid"
"aaooldbh-1","aaooldbh-1","Late Erythroid"
"aaopbeke-1","aaopbeke-1","Late Erythroid"
"aapabjol-1","aapabjol-1","Not-mapped"
"aapbagpn-1","aapbagpn-1","Late Erythroid"
"aapbdecb-1","aapbdecb-1","Late Erythroid"
"aapbphlo-1","aapbphlo-1","Not-mapped"
"aapcaono-1","aapcaono-1","Not-mapped"
