"","cell_id","group"
"aalgigoo-1","aalgigoo-1","Megakaryocyte?"
"aalhdifn-1","aalhdifn-1","SPP1+ Osteoblast"
"aalhdkci-1","aalhdkci-1","SPP1+ Osteoblast"
"aalhfcmc-1","aalhfcmc-1","ELANE_high Neutrophil"
"aalhmkmi-1","aalhmkmi-1","B cell"
"aalicnoc-1","aalicnoc-1","SPP1+ Osteoblast"
"aalkchon-1","aalkchon-1","SPP1+ Osteoblast"
"aalkmbaa-1","aalkmbaa-1","SPP1+ Osteoblast"
"aalkmdej-1","aalkmdej-1","MKI67+ Erythroblast"
"aalmaogk-1","aalmaogk-1","MKI67+ Erythroblast"
"aambjiii-1","aambjiii-1","MKI67+ Erythroblast"
"aamcjbcb-1","aamcjbcb-1","MKI67+ Erythroblast"
"aamdbkil-1","aamdbkil-1","PDGFRA/B+ MSC/Bone"
"aamepnfb-1","aamepnfb-1","MKI67+ Erythroblast"
"aamgbmjg-1","aamgbmjg-1","DNTT+ Uk"
"aamhbpcc-1","aamhbpcc-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aamibkfo-1","aamibkfo-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aamieljl-1","aamieljl-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aamigalg-1","aamigalg-1","ELANE_high Neutrophil"
"aamjegna-1","aamjegna-1","ELANE_high Neutrophil"
"aamkeiei-1","aamkeiei-1","Uk"
"aamkfffg-1","aamkfffg-1","ITGAM+ ELANE_low Neutrophil"
"aamlbkdn-1","aamlbkdn-1","ITGAM+ ELANE_low Neutrophil"
"aamllbnd-1","aamllbnd-1","ITGAM+ ELANE_low Neutrophil"
"aammcjoc-1","aammcjoc-1","Megakaryocyte?"
"aammionm-1","aammionm-1","Uk"
"aamobcme-1","aamobcme-1","B cell"
"aamoeice-1","aamoeice-1","PDGFRA/B+ MSC/Bone"
"aanakbmn-1","aanakbmn-1","ELANE_high Neutrophil"
"aanbmkmh-1","aanbmkmh-1","ELANE_high Neutrophil"
