"","cell_id","group"
"aapolofh-1","aapolofh-1","Not-mapped"
"aapppbpl-1","aapppbpl-1","Plasma Cell"
"abagdaoj-1","abagdaoj-1","Not-mapped"
"abahikpl-1","abahikpl-1","Not-mapped"
"abahohbk-1","abahohbk-1","Plasma Cell"
"abajngom-1","abajngom-1","Plasma Cell"
"abakilop-1","abakilop-1","Not-mapped"
"abbaapnl-1","abbaapnl-1","Plasma Cell"
"abbbcoke-1","abbbcoke-1","VSMC"
"abbclnjh-1","abbclnjh-1","SEC"
"abbdaeje-1","abbdaeje-1","Not-mapped"
"abbekgcm-1","abbekgcm-1","Not-mapped"
"abbianin-1","abbianin-1","VSMC"
"abbidhdl-1","abbidhdl-1","AEC"
"abbijjgf-1","abbijjgf-1","Plasma Cell"
"abbjgemj-1","abbjgemj-1","Not-mapped"
"abblmiin-1","abblmiin-1","Plasma Cell"
"abblnann-1","abblnann-1","Not-mapped"
"abbofflc-1","abbofflc-1","Not-mapped"
"abbpmhdo-1","abbpmhdo-1","Pro-B"
"abcdcbpm-1","abcdcbpm-1","Macrophages"
"abcdmjin-1","abcdmjin-1","Plasma Cell"
"abcdpbma-1","abcdpbma-1","Plasma Cell"
"abcebcpl-1","abcebcpl-1","VSMC"
"abcemafn-1","abcemafn-1","Not-mapped"
"abcgonmb-1","abcgonmb-1","Plasma Cell"
"abcjfndp-1","abcjfndp-1","Not-mapped"
"abckfghh-1","abckfghh-1","Not-mapped"
"abcmjlfb-1","abcmjlfb-1","Not-mapped"
"abcmpdoh-1","abcmpdoh-1","Macrophages"
"abcnioii-1","abcnioii-1","Plasma Cell"
"abcnmpkl-1","abcnmpkl-1","Not-mapped"
"abcohbnk-1","abcohbnk-1","Early Myeloid Progenitor"
"abcpealh-1","abcpealh-1","Not-mapped"
"abcppbpk-1","abcppbpk-1","Plasma Cell"
"abdajlcn-1","abdajlcn-1","Plasma Cell"
"abdbkdga-1","abdbkdga-1","Not-mapped"
"abdcabnf-1","abdcabnf-1","Plasma Cell"
"abdcjmbk-1","abdcjmbk-1","Not-mapped"
"abdckllh-1","abdckllh-1","Plasma Cell"
"abdejccn-1","abdejccn-1","Plasma Cell"
"abdhefcd-1","abdhefcd-1","Not-mapped"
"abdicpmj-1","abdicpmj-1","AEC"
"abdidhgj-1","abdidhgj-1","Not-mapped"
"abdjjcbk-1","abdjjcbk-1","Early Myeloid Progenitor"
