cell_id,group
abfnnchj-1,CD4+ T-Cell
abfolihj-1,RBC
abfpdfoc-1,Plasma Cell
abfppjob-1,Neutrophil
abgapfnh-1,Plasma Cell
abggjkdh-1,THY1+ MSC
abgidmja-1,Adipo-MSC
abgigcig-1,CLP
abgnalne-1,Plasma Cell
abgnmpoj-1,Late Erythroid
abgonkan-1,APOD+ MSC
abhacdhd-1,Fibro-MSC
abhcccdl-1,AEC
abhclcbk-1,pDC
abhcpkli-1,THY1+ MSC
abhecgho-1,CLP
abhighha-1,Plasma Cell
abhijgem-1,Plasma Cell
abhilllc-1,HSC
abhnpihg-1,Ba/Eo/Ma
abibbimd-1,SEC
abicecka-1,Ba/Eo/Ma
abicoolo-1,THY1+ MSC
abicpdci-1,Cycling HSPC
abidaajb-1,Late Myeloid
abieaonl-1,Pro-B
abieclhd-1,Mature B
abifoepn-1,Early Myeloid Progenitor
abigheck-1,Pre-B
abihdmla-1,APOD+ MSC
abihgpmh-1,Pro-B
abihlpli-1,Pre-B
abikbnlh-1,HSC
abilalap-1,Fibro-MSC
abilmnjb-1,Neutrophil
abilobmi-1,Megakaryocyte
abippkok-1,Neutrophil
abjbdnki-1,RBC
abjcldpc-1,Macrophages
abjdnapi-1,RBC
abjehcbo-1,Pre-B
abjehcmk-1,HSC
abjfalap-1,Pro-B
abjfepjn-1,Ba/Eo/Ma
abjfjedb-1,Late Myeloid
abjhmpcf-1,Late Erythroid
abjkhigm-1,MEP
abjkhima-1,Pre-B
abjmiajc-1,Pre-B
abjmjhlp-1,Ba/Eo/Ma
abjmodip-1,Neutrophil
abjnlijj-1,Osteoblast
abkccmdb-1,pDC
abkcjhel-1,THY1+ MSC
abkdiolf-1,Erythroblast
abkfepnb-1,THY1+ MSC
abkghibk-1,Late Erythroid
abkhbjna-1,Pro-B
abkjgdnm-1,Cycling HSPC
abkkdgel-1,Cycling HSPC
abkkedhb-1,Late Myeloid
abkkkehj-1,GMP
abklhfod-1,Late Myeloid
abknhhgm-1,GMP
abkpdheo-1,Neutrophil
ablafjpl-1,pDC
ablagfed-1,Late Myeloid
ablaghce-1,Late Myeloid
ablcpmln-1,Late Myeloid
ablfmjan-1,RBC
ablhlnfg-1,Pro-B
abljfjpo-1,Neutrophil
abljheph-1,RBC
abljhgol-1,APOD+ MSC
ablknbmc-1,RBC
abllhcld-1,Cycling HSPC
ablnncdg-1,Monocyte
ablnnifb-1,Late Myeloid
ablpiphj-1,Late Myeloid
abmeondl-1,Late Myeloid
abmgaeih-1,RBC
abmgoijk-1,CD4+ T-Cell
abminjan-1,Neutrophil
abmjjnop-1,APOD+ MSC
abmlpdcp-1,Osteoblast
abmmfeda-1,HSC
abmmjjdl-1,Neutrophil
abnblckp-1,RBC
abnddnbb-1,Early Myeloid Progenitor
abnfhjcd-1,Early Myeloid Progenitor
abniihji-1,Pre-B
abnikhji-1,Neutrophil
abniogfj-1,CD8+ T-Cell
abnjekah-1,GMP
abnoanih-1,GMP
abnoddad-1,Cycling HSPC
abnoehkf-1,GMP
abnpnclp-1,GMP
aboamfai-1,Monocyte
abodlgcm-1,Cycling HSPC
aboeambd-1,Early Myeloid Progenitor
aboelppe-1,RBC
abofkmpi-1,Pre-B
abogpllh-1,Plasma Cell
aboijgoc-1,Late Myeloid
abojgcka-1,HSC
abokibgd-1,Neutrophil
abolljld-1,Erythroblast
abookbpi-1,CD8+ T-Cell
abpbamhp-1,Neutrophil
abpcaokk-1,Late Myeloid
abpfjbjm-1,Late Myeloid
abpgomhp-1,Late Myeloid
abphmapp-1,Late Myeloid
abpjajhg-1,SEC
abpkkepc-1,Pro-B
abplonde-1,Osteo-MSC
abplpgia-1,Late Myeloid
abpmgjld-1,Late Myeloid
abpmjkgn-1,Pro-B
abpmognk-1,AEC
abpojofn-1,RBC
abppgjih-1,Osteo-MSC
acabcpgp-1,Late Erythroid
acabfjfd-1,Fibro-MSC
acacagdk-1,Late Myeloid
acachohp-1,Megakaryocyte
acadfolb-1,Late Myeloid
acadklio-1,Neutrophil
acafjjkb-1,Late Myeloid
acafobho-1,HSC
acagljlg-1,Late Myeloid
acahgngg-1,Late Myeloid
acaidaaj-1,Pre-Pro B
acaiimbp-1,Mature B
acaippja-1,Plasma Cell
acalkcpd-1,Late Erythroid
acamekcf-1,Cycling HSPC
acanplcl-1,Late Myeloid
acaoibkn-1,GMP
acbbghei-1,Cycling HSPC
acbbkejc-1,GMP
acbbkmdh-1,Plasma Cell
acbcacll-1,GMP
acbghfnh-1,Neutrophil
acbjbkjh-1,RBC
acbjboah-1,Pre-Pro B
acbjiopc-1,Late Myeloid
acbkopbg-1,Osteoblast
acblaphi-1,Osteo-MSC
acbnbfff-1,CD4+ T-Cell
acbnfnhi-1,GMP
accbcbil-1,RBC
accblpfn-1,Neutrophil
accbmgao-1,Adipo-MSC
acccefhe-1,Plasma Cell
accehnno-1,Late Myeloid
accfiabj-1,Osteoblast
accgbdjb-1,Plasma Cell
acclbiio-1,GMP
accocpal-1,MEP
accoehmc-1,MEP
accooife-1,Cycling HSPC
acdankne-1,HSC
acddajbn-1,RBC
acddolhi-1,GMP
acdeabig-1,RBC
acdfophj-1,Pre-Pro B
acdgndbb-1,RBC
acdibmek-1,MEP
acdjffbd-1,Early Myeloid Progenitor
acdjgaao-1,Monocyte
acdmbleg-1,CD4+ T-Cell
acdpfiab-1,GMP
acdpiilg-1,RBC
aceafjcf-1,Plasma Cell
acedhcje-1,Neutrophil
aceecmim-1,Pro-B
acefeend-1,Early Myeloid Progenitor
aceipelb-1,Neutrophil
acekihhf-1,Mature B
acemoehf-1,Pro-B
acendihh-1,Monocyte
acenmgag-1,Monocyte
aceojfck-1,RBC
aceoloki-1,CLP
acepogbp-1,RBC
acfbihph-1,Pro-B
acfbnfek-1,Erythroblast
acfcikmp-1,Pro-B
acfedcbg-1,Pro-B
acfehmjo-1,Plasma Cell
acfhbgdl-1,MEP
acfhgeao-1,Osteo-MSC
acfibcgn-1,Macrophages
acfibeod-1,Late Myeloid
acflcnbd-1,Late Myeloid
acgammhm-1,Plasma Cell
acgcahlm-1,Neutrophil
acgcpdip-1,Fibro-MSC
acgemdnf-1,Early Myeloid Progenitor
acgfeogj-1,Late Myeloid
acgficnj-1,Macrophages
acgglell-1,Late Myeloid
acgidbnl-1,Late Myeloid
acgiiock-1,Late Myeloid
acgjeiic-1,RBC
acgmcgfo-1,RBC
acgmkpmi-1,THY1+ MSC
acgohjpa-1,Late Myeloid
achbamlm-1,Pre-B
achbdogj-1,RBC
achfjmho-1,Late Myeloid
achgpkko-1,HSC
achhhmfj-1,Neutrophil
achicgfm-1,Ba/Eo/Ma
achichld-1,Early Myeloid Progenitor
achnklce-1,Pro-B
achnmehp-1,Cycling HSPC
achnnjfh-1,MEP
achohejm-1,Ba/Eo/Ma
acholbdc-1,Plasma Cell
achondbc-1,pDC
acibibke-1,Pre-B
acibkelc-1,Late Myeloid
acicibkn-1,Pro-B
acifieal-1,Late Erythroid
acihophg-1,Osteoblast
acihpmpg-1,HSC
aciidmbi-1,Fibro-MSC
acikdiej-1,Pre-Pro B
acikfbpg-1,Ba/Eo/Ma
acikjpoi-1,Osteoblast
acinfmnl-1,Plasma Cell
acinniij-1,CLP
aciomfom-1,CD8+ T-Cell
acipdidg-1,HSC
aciplado-1,Pro-B
acjagbdo-1,Late Myeloid
acjebdld-1,MEP
acjgdkgi-1,VSMC
acjhamie-1,Monocyte
acjigmbd-1,CD4+ T-Cell
acjikfeo-1,Macrophages
acjmemib-1,Plasma Cell
acjnpekn-1,Late Myeloid
acjoohib-1,Neutrophil
acjpnlgc-1,GMP
ackagiah-1,CD4+ T-Cell
ackaicpj-1,Neutrophil
ackbljei-1,Megakaryocyte
ackblneo-1,RBC
ackbmiep-1,Erythroblast
ackbnjga-1,Osteoblast
ackebbki-1,Late Myeloid
ackhlakf-1,Late Myeloid
ackiiloe-1,Erythroblast
ackipghd-1,Cycling HSPC
ackjhbgb-1,Plasma Cell
acklgakj-1,Neutrophil
acknhnhm-1,Pro-B
ackolhjp-1,Mature B
ackomdlc-1,pDC
aclbdmpb-1,Pre-Pro B
aclbnkdn-1,Monocyte
aclegjmd-1,Erythroblast
acleofbl-1,RBC
aclfhogh-1,Ba/Eo/Ma
aclglkei-1,Osteoblast
aclhmnpa-1,RBC
acljhmak-1,Macrophages
aclkfeno-1,THY1+ MSC
aclkmjlk-1,CD8+ T-Cell
aclkpeme-1,Osteo-MSC
acllgcla-1,HSC
aclmcbpf-1,Osteo-MSC
aclmgnik-1,CD8+ T-Cell
aclndefh-1,Neutrophil
aclndpih-1,RBC
aclngepm-1,Cycling HSPC
acloaoec-1,Late Erythroid
aclocdfc-1,MEP
aclokdgg-1,pDC
aclolmhi-1,Plasma Cell
aclopkib-1,GMP
acmbkofn-1,Plasma Cell
acmcakhb-1,VSMC
acmdinjd-1,GMP
acmegbmm-1,CD4+ T-Cell
acmekioi-1,RBC
acmflooe-1,Late Myeloid
acmgbcpk-1,Neutrophil
acmiglcj-1,Late Myeloid
acmihmdf-1,Adipo-MSC
acmjidef-1,Plasma Cell
acmjklid-1,Plasma Cell
acmkkgbg-1,Osteo-MSC
acmlknbj-1,Early Myeloid Progenitor
acmllplk-1,RBC
acmobnbi-1,Plasma Cell
acmogeac-1,Monocyte
acmpojnj-1,RBC
acnadacp-1,Ba/Eo/Ma
acncahaj-1,Neutrophil
acncbdka-1,Adipo-MSC
acnccaie-1,VSMC
